Instrumentals,writer,school,co-writer,date,assistant,Record Status,recording,publisher,ISWC,ISRC,Tuning,ASCAP,©,midi,s/I/k,year,assist,notes,t,u,v,w,x
"missing some Nashville songs, Williamson Co. and some others",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Out in the Field,Alex Call,Westwood Elementary,,37187.0,,,,,,,kids,,,,Frances McClanahan,,Bill Manchester,,,,,,
I Like to Do What I Like,Alex Call,Westwood Elementary,,37187.0,,,,,,,kids,,,,Frances McClanahan,,Jennifer Neal,,,,,,
Rap Hop,Angela Kaset,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Who I Am,Angela Kaset,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Little Drop of Water,Beth Nielsen Chapman,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Extra Hand,Bill Lloyd,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
I Like Blues,Bill Lloyd,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
my girlfriend,Celeste Krenz/Sally Barris,"Colonade, GA",,37792.0,,,,,,,,,,,,,,,,,,,
good people,Celeste Krenz/Sally Barris,"Colonade, GA",,37792.0,,,,,,,,,,,,,,,,,,,
biscuits for the dog,Celeste Krenz/Sally Barris,"Colonade, GA",,37792.0,,,,,,,,,,,,,,,,,,,
I found a rock,Celeste Krenz/Sally Barris,"Colonade, GA",,37792.0,,,,,,,,,,,,,,,,,,,
Cartoons,Chuck Jones,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Everything,Chuck Jones,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Stinky Socks,Chuck Jones,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
I Miss My Country Home,Darrell Scott,Moore Elementary,,37196.0,,,,,,,kids,,,,Michael Alvey,,Jennifer Neal,,,,,,
